Country; mode; Target Person; Year; Article in law; Procedure; Conditions; Category
"Afghanistan";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Albania";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Algeria";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Angola";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Antigua and Barbuda";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Argentina";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Armenia";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Australia";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Austria";"L05";"Person who acquires a foreign citizenship";"2024";"AUT 27, 28";"Lapse";"Person acquires citizenship of another country on the basis of an application, a declaration or an explicit expression of consent, and has not obtained permission to retain citizenship. Permission to retain citizenship may be granted if a) retaining citizenship is in the interest of the country due to past and expected future achievements of the applicant or due to other special reasons or b) if person has acquired citizenship by descent and special reasons exist that are related to the person's private or family life, or - in case the person is a minor - if this is in the interests of the child. Conditions: the other country agrees to the retention of the Austrian citizenship, clean criminal record, no adverse impact on the international relations of the Republic of Austria and the person must have an <d4>affirmative attitude towards the Republic of Austria<d5>, and he or she must not represent a danger to public law, order and security including any other public interest that is covered by Art. 8(2) ECHR.";"Generally applicable provision (lapse)" 
"Azerbaijan";"L05";"Person who acquires a foreign citizenship";"2024";"AZE 18";"Withdrawal";"Person voluntarily acquires citizenship of another country.";"Generally applicable provision (withdrawal)" 
"Bahamas";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Bahrain";"L05";"Person who acquires a foreign citizenship";"2024";"BAH 9(1)(a), 7(1); BAH 8(c), 7(2)";"Withdrawal; Withdrawal";"Person has voluntarily acquired another citizenship without prior permission and an order is issued by His Majesty the Governor to withdraw the person's citizenship. Except if person acquired one of the nationalities of the Member States of the Cooperation Council for the Arab States of the Gulf. Art. 7(1) talks explicitly about female citizens who acquires the citizenship of her foreign spouse.; Person is a naturalised citizen and retrieves his original citizenship without obtaining the prior permission of the Minister of Interior. Except if the person holds one of the nationalities of the Member States of the Cooperation Council for the Arab States of the Gulf. Art. 7(2) talks explicitly about female naturalised citizens who acquired the Bahraini citizenship as a spouse of a male citizen, who retrieves her original citizenship after marriage ties are broken.";"Generally applicable provision but with exceptions (withdrawal)" 
"Bangladesh";"L05";"Person who acquires a foreign citizenship";"2024";"BAN 14,  Bangladesh Citizenship (Temporary Provisions) Order 1972 2B";"Lapse";"The person acquiring a foreign citizenship (or is about to acquire) may relinquish Bangladeshi citizenship voluntarily, asking the government to release him. When Bangladeshi citizenship is not relinquished voluntarily in this situation, it lapses ipso facto. Except if person acquires the nationality of any state of Europe or North America or any other State specified by the Government in this behalf and applies for retention of his/her original nationality.";"Generally applicable provision but with exceptions (lapse)" 
"Barbados";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Belarus";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Belgium";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Belize";"L05";"Person who acquires a foreign citizenship";"2024";"Const 27, BLZ 21(1)(f)";"Withdrawal";"Person is a citizen otherwise than by birth or descent who acquires citizenship of another country.";"Loss only applies to naturalised citizens/citizens otherwise than by birth (withdrawal)" 
"Benin";"L05";"Person who acquires a foreign citizenship";"2024";"BEN 3";"n.a.";"(No provision on loss of citizenship, but law includes an explicit statement that Benin accepts the right to multiple citizenship.)";"No provision" 
"Bhutan";"L05";"Person who acquires a foreign citizenship";"2024";"Const 6(5), BHU 6(a)";"Lapse";"Person acquires citizenship of another country.";"Generally applicable provision (lapse)" 
"Bolivia";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Bosnia and Herzegovina";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Botswana";"L05";"Person who acquires a foreign citizenship";"2024";"BOT 15(2)";"Lapse";"Person is over 18 years of age and acquires citizenship of another country by voluntary and formal act.";"Generally applicable provision (lapse)" 
"Brazil";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Brunei";"L05";"Person who acquires a foreign citizenship";"2024";"BRU 9(5)(a)";"Lapse";"Person voluntarily acquires citizenship of another country.";"Generally applicable provision (lapse)" 
"Bulgaria";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Burkina Faso";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Burundi";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Cambodia";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Cameroon";"L05";"Person who acquires a foreign citizenship";"2024";"CAM 31(a)";"Lapse";"Person is an adult who acquires another citizenship.";"Generally applicable provision (lapse)" 
"Canada";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Cape Verde";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Central African Republic";"L05";"Person who acquires a foreign citizenship";"2024";"CAR 46";"Lapse";"Person voluntarily acquires or declares recognition of another citizenship.";"Generally applicable provision (lapse)" 
"Chad";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"Chile";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
"China";"L05";"Person who acquires a foreign citizenship";"2024";"CHI 3, 9";"Lapse";"Person is settled abroad and has voluntarily acquired another citizenship.";"Generally applicable provision (lapse)" 
"Colombia";"L05";"Person who acquires a foreign citizenship";"2024";"No provision";"n.a.";"n.a.";"No provision" 
