id,Country (or dependency),Population 2025,Density (P/Km²),Land Area (Km²),World Share
1,India,1463865525,492,2973190,17.78%
2,China,1416096094,151,9388211,17.20%
3,United States,347275807,38,9147420,4.22%
4,Indonesia,285721236,158,1811570,3.47%
5,Pakistan,255219554,331,770880,3.10%
6,Nigeria,237527782,261,910770,2.89%
7,Brazil,212812405,25,8358140,2.59%
8,Bangladesh,175686899,1350,130170,2.13%
9,Russia,143997393,9,16376870,1.75%
10,Ethiopia,135472051,135,1000000,1.65%
11,Mexico,131946900,68,1943950,1.60%
12,Japan,123103479,338,364555,1.50%
13,Egypt,118365995,119,995450,1.44%
14,Philippines,116786962,392,298170,1.42%
15,DR Congo,112832473,50,2267050,1.37%
16,Vietnam,101598527,328,310070,1.23%
17,Iran,92417681,57,1628550,1.12%
18,Turkey,87685426,114,769630,1.07%
19,Germany,84075075,241,348560,1.02%
20,Thailand,71619863,140,510890,0.87%
21,Tanzania,70545865,80,885800,0.86%
22,United Kingdom,69551332,287,241930,0.84%
23,France,66650804,122,547557,0.81%
24,South Africa,64747319,53,1213090,0.79%
25,Italy,59146260,201,294140,0.72%
26,Kenya,57532493,101,569140,0.70%
27,Myanmar,54850648,84,653290,0.67%
28,Colombia,53425635,48,1109500,0.65%
29,South Korea,51667029,531,97230,0.63%
30,Sudan,51662147,29,1765048,0.63%
31,Uganda,51384894,257,199810,0.62%
32,Spain,47889958,96,498800,0.58%
33,Algeria,47435312,20,2381740,0.58%
34,Iraq,47020774,108,434320,0.57%
35,Argentina,45851378,17,2736690,0.56%
36,Afghanistan,43844111,67,652860,0.53%
37,Yemen,41773878,79,527970,0.51%
38,Canada,40126723,4,9093510,0.49%
39,Angola,39040039,31,1246700,0.47%
40,Ukraine,38980376,67,579320,0.47%
41,Morocco,38430770,86,446300,0.47%
42,Poland,38140910,125,306230,0.46%
43,Uzbekistan,37053428,87,425400,0.45%
44,Malaysia,35977838,110,328550,0.44%
45,Mozambique,35631653,45,786380,0.43%
46,Ghana,35064272,154,227540,0.43%
47,Peru,34576665,27,1280000,0.42%
48,Saudi Arabia,34566328,16,2149690,0.42%
49,Madagascar,32740678,56,581795,0.40%
50,Côte d'Ivoire,32711547,103,318000,0.40%
51,Cameroon,29879337,63,472710,0.36%
52,Nepal,29618118,207,143350,0.36%
53,Venezuela,28516896,32,882050,0.35%
54,Niger,27917831,22,1266700,0.34%
55,Australia,26974026,4,7682300,0.33%
56,North Korea,26571036,221,120410,0.32%
57,Syria,25620427,140,183630,0.31%
58,Mali,25198821,21,1220190,0.31%
59,Burkina Faso,24074580,88,273600,0.29%
60,Sri Lanka,23229470,370,62710,0.28%
61,Taiwan,23112793,653,35410,0.28%
62,Malawi,22216120,236,94280,0.27%
63,Zambia,21913874,29,743390,0.27%
64,Chad,21003705,17,1259200,0.26%
65,Kazakhstan,20843754,8,2699700,0.25%
66,Chile,19859921,27,743532,0.24%
67,Somalia,19654739,31,627340,0.24%
68,Senegal,18931966,98,192530,0.23%
69,Romania,18908650,82,230170,0.23%
70,Guatemala,18687881,174,107160,0.23%
71,Netherlands,18346819,544,33720,0.22%
72,Ecuador,18289896,74,248360,0.22%
73,Cambodia,17847982,101,176520,0.22%
74,Zimbabwe,16950795,44,386850,0.21%
75,Guinea,15099727,61,245720,0.18%
76,Benin,14814460,131,112760,0.18%
77,Rwanda,14569341,591,24670,0.18%
78,Burundi,14390003,560,25680,0.17%
79,Bolivia,12581843,12,1083300,0.15%
80,Tunisia,12348573,79,155360,0.15%
81,South Sudan,12188788,20,610952,0.15%
82,Haiti,11906095,432,27560,0.14%
83,Belgium,11758603,388,30280,0.14%
84,Jordan,11520684,130,88780,0.14%
85,Dominican Republic,11520487,238,48320,0.14%
86,United Arab Emirates,11346000,136,83600,0.14%
87,Honduras,11005850,98,111890,0.13%
88,Cuba,10937203,103,106440,0.13%
89,Tajikistan,10786734,77,139960,0.13%
90,Papua New Guinea,10762817,24,452860,0.13%
91,Sweden,10656633,26,410340,0.13%
92,Czech Republic (Czechia),10609239,137,77240,0.13%
93,Portugal,10411834,114,91590,0.13%
94,Azerbaijan,10397713,126,82658,0.13%
95,Greece,9938844,77,128900,0.12%
96,Togo,9721608,179,54390,0.12%
97,Hungary,9632287,106,90530,0.12%
98,Israel,9517181,440,21640,0.12%
99,Austria,9113574,111,82409,0.11%
100,Belarus,8997603,44,202910,0.11%
101,Switzerland,8967407,227,39516,0.11%
102,Sierra Leone,8819794,122,72180,0.11%
103,Laos,7873046,34,230800,0.096%
